职位名称,关键词,薪水月薪,城市,公司名称,技能要求,工作经验,"招聘类型（校招，社招）
","产业链环节	",获取时间,职位详情
射频开发工程师,数据中心网络,18-35K,无锡,无锡鸣石峻致医疗科技有限公司,"射频开发,线圈设计,通信,电路仿真,硬件工程师",1-3年,社招,数据中心网络,2023/1/11,"技能要求：
磁共振，射频，线圈，前置放大器，T/R开关，EDA
岗位职责：
1.负责磁共振射频系统的设计研发，包括射频天线，线圈，传感器，T/R开关，放大器等相关子系统和部件设计
2.负责产品架构讨论，方案和器件选型，原型机开发调试，系统集成测试
3.撰写技术文档，支持产品开发流程和相关认证；
相关知识技能要求：
1.熟练使用EDA；熟练使用Layout工具
2.熟练掌握射频测试仪器使用，例如频谱分析仪，矢量网络分析仪，信号源等
工作经验要求：
1.2年以上相关行业工作经验
2.基本射频子部件设计经历，例如天线，混频器，低噪声放大器，功率放大器或者天线，滤波器等
3.有磁共振领域射频设计经验者优先
学历与专业要求：
通信工程，无线电，电子工程，生物医学工程等相关专业"
算法工程师,数据中心网络,10-15K,无锡,航天新气象科技有限公司,"C++,Python,算法设计,深度学习算法,视觉图像算法,机器学习算法",经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1.负责相关算法的设计与研发工作；
2.负责相关算法模型的优化改进与性能提升；
2.根据任务需求编写软件设计与实现技术文档、专利输出。
岗位要求：
1.研究生及以上学历，人工智能、计算机、软件、数学、物理学、自动化等相关专业优先；
2.有深度学习/图像算法/声学算法相关项目经历；
3.有扎实的编程与算法实现能力，熟悉C/C++、Python、Matlab等至少一种编程语言，能独立完成算法模块的设计与开发工作；
4.扎实的计算机与网络基础，熟悉Linux操作系统有相关开发经验者优先。"
信号完整性工程师,数据中心网络,10-15K,无锡,无锡芯光互连技术研究院有限公司,"射频,微波,SI PI",1-3年,社招,数据中心网络,2023/1/11,"职责描述：
1. 负责Serdes，DDR等高速电路设计和信号完整性仿真;
2.负责芯片封装信号和电源完整性设计、仿真和测试，负责硬件系统级的电源完整性仿真，包括DC IR drop，AC noise等；
3.为从芯片到整机的高速电路系统的垂直整合提供SI/PI方向设计指导，包括die，封装PCB板,系统级SI、PI仿真分析，输出互连设计方案和设计规则，指导layout实现。
4.具备一定调试测试能力，解决高速数字系统中出现的信号传输质量、时序、EMI等相关信号完整性问题和电源完整性问题
5.熟悉高速总线标准和丰富的应用经验，如Serdes/PCIe，Multi-Gigabit Ethernet，DDRx/GDDRx/LPDDRx等，熟练使用ADS ,Cadence SPB/Sigrity, Ansys EM, Hspice等EDA1至2 仿真工具
6. 具有示波器、矢量网络分析仪、频谱分析仪等仪器的使用经验，能够独立完成测试"
技术支持工程师（电磁仿真）,数据中心网络,20-30K,无锡,无锡飞谱电子信息技术有限公司,"CAE,  EDA",经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1. 负责飞谱电磁仿真软件的售前、售后技术支持工作；
2. 完成客户的验证算例和报告；
3. 负责与客户进行技术沟通并解决各种技术问题；
4. 负责对用户进行产品培训、日常客户支持和相关产品的技术资料准备等；
5. 负责电磁场仿真案例。
任职要求：
1. 天线、射频、电气、雷达等理工科相关专业本科及以上学历，具有硕士以上学位；
2. 熟悉并掌握常用的电磁场分析软件者优先(HFSS、CST、FEKO等)，从事天线、射频、高速等应用经验者优先。
3. 具有较强的人际沟通、协调和人际交往能力，能够为客户提供网络研讨会和现场演讲及展示；
4. 良好的英语阅读能力，熟练使用办公软件；
5. 能够适应经常出差到客户现场做技术支持。"
算法工程师（深度学习方向）,数据中心网络,11-22K,无锡,中科海拓（无锡）科技有限公司,"深度学习算法,视觉图像算法",在校/应届,社招,数据中心网络,2023/1/11,"算法工程师（深度学习图像方向）
1、计算机类相关专业，在读硕士以上学历（研二及以上）；
2、从事基于深度学习的计算机视觉相关项目开发工作；
3、对算法进行测试验证，针对产品研发过程中发现的性能瓶颈进行分析及算法优化；
4、 基于加速硬件提供的驱动，改造移植算法。
5、熟练掌握机器学习基本算法，熟悉各种深度神经网络和常用的模型，如CNN, DBN,SparseCoding, RNN等；
  任职要求：；
1、计算机、数学或相关专业本科及以上学历，2年以上工作经验，有图像处理、信号处理、机器学习、深度学习相关领域背景知识。；
2、具有目标检测、物体分割、图像分类等项目经验的优先
3、对常用的开源实现,如Pytorch, Tensorflow或MxNet等有一定的了解；
4 、宽泛的技术视野，创造性思维，富有想象力，能够独立分析问题，应用多种方法解决问题达到目标；"
数字孪生算法工程师,数据中心网络,15-30K,无锡,无锡雪浪数制科技有限公司,"Python,深度学习算法,PyTorch,C++,视觉图像算法",3-5年,社招,数据中心网络,2023/1/11,"工作职责：
1.	从事工业数字孪生核心算法研发，熟悉克里金模型、响应面模型、线性时不变模型、正交分解法、多层神经网络、动态神经网络、系统辨识模型中的一种或多种算法，并应用于模型降阶；
2.	从事前沿算法调研，如GAN、PINN物理嵌入神经网络、FNO傅立叶神经算子等；
3.   熟练掌握PyTorch、Tensorflow等框架，Python/C++一种或多种编程语言；
4.   承接数字孪生项目算法方案创新，并沉淀知识产权；
5.   协同产品人员丰富体系算法内容，推进算法工具集建设；
任职要求：
1.	计算机/数学/物理 方向硕士及以上学历（博士优先）；
2.   熟悉一种或多种仿真软件使用，如Ansys，Axisuite等优先；
3.   有CV领域深度学习算法经验者优先；
4.   在CVPR/ICCV/ECCV/NIPS/SIGGRAPH等相关顶会发表过论文的优先；
可选工作地点：无锡 上海 杭州"
嵌入式软件工程师(Vehicle Service)_BCSC,数据中心网络,16-30K,无锡,博世（中国）投资有限公司,"C++,通信相关专业,C,Linux,嵌入式/单片机开发经验,汽车多媒体,计算机相关专业,Python,Android",3-5年,社招,数据中心网络,2023/1/11,"职位描述
1.对涉众处理、需求收集和启发任务、定义接口以及与其他组件的协调的总体责任。
2.负责基于Android/QNX的信息娱乐/驾驶舱项目的车载网络（CAN、以太网）相关组件开发（例如Car Service、Vehicle HAL）
3.编写软件设计文件，实现车载网络功能
4.单元测试用例开发、软件发布与维护
5.确保产品质量特性的实现
6.能够估计任务，做计划，识别和解决依赖关系
7.主动参与解决问题并在复杂程序中提供解决方案
职位要求
1.计算机科学/电气/电子或同等专业的学士/硕士学位
2.3年以上汽车产品软件开发经验，专注于中间件/HAL 对车辆网络有深入的了解，例如 CAN，一些/IP
3.熟悉Android & QNX/Linux开发
4.专业的 C++/Java 编程技能
5.熟悉 OOAD 和 UML 概念 使用仿真器/调试器和软件调试技能对硬件进行实时调试。
6.熟悉软件开发流程和工具链
7.良好的英文读写能力
8.能够在快节奏的开发环境中工作
9.良好的团队合作精神，具有出色的沟通技巧"
图像识别算法研发工程师,数据中心网络,18-35K,无锡,无锡星闪智能科技有限公司,"C/C++,OpenCV,计算机相关专业,图像识别经验,Python",1-3年,社招,数据中心网络,2023/1/11,"工作内容：
1.         负责人工智能算法开发和应用开发工作，包括C++和python代码编写；
2.         研发目标检测识别算法，深度学习视频处理算法；
3.         对神经网络进行优化、裁剪、调整、低复杂度处理、量化，根据行业视频监控需求和嵌入式系统算力选择合适的算法并进行适配性修改；
4.         跟踪github各类开源最新算法项目、进行安装和评测
 
岗位要求：
1.         数学、计算机、电子等相关专业，硕士以上学历，两年以上工作经验，英语读写能力强
2.         熟悉AI图像识别算法最新技术前沿，精通图像识别算法构建和优化
3.         精通至少一种深度学习框架
4.         熟练使用openCV、halcon等图像处理库
5.         精通C++、python变成和代码优化
6.         有电力行业智能终端或安防视频监控应用经验者优先。
 
薪资待遇：有竞争力得薪资与奖励政策（面议）  
工作地点（陕西/江苏/北京）"
技术总监,数据中心网络,16-30K,无锡,江苏微之润智能技术有限公司,"大数据,自动化",3-5年,社招,数据中心网络,2023/1/11,"岗位要求：
1）研究水利/气象/环保行业信息化行业发展趋势及技术领域发展方向，主持或参与制定公司长期研发发展战略规划；
2）主导公司研发平台相关的研发工作，包括但不限于自动化、云计算、大数据、人工智能等；
3）负责公司核心技术的研究和技术难点攻关工作，指导并参与核心代码的编写，组织解决研发过程中的重大技术难题；
4）对公司所有软件项目及硬件产品研发流程、质量和开发进度的规划、控制、监督和管理；
5）建立规范、高效的研发管理体系并优化组织架构，持续提升公司整体的研发能力；
6）解决开发中的技术问题，不断推动产品创新和流程优化，从技术层面提高用户体验。
任职资格:
1）自动化/计算机相关专业硕士及以上学历，至少3年行业解决方案或软硬件产品研发经验；
2）对技术市场具有极强的敏锐度，熟悉网络技术架构，数据库及开发工具，能够从客户和业务的角度来进行技术实现，并能及时掌握市场发展动态，为技术技术发展提供决策性建议；
3）具有自动化、云计算、大数据、人工智能等领域产品研发经验，熟悉相关技术领域主流框架技术；
4）具有较强的规划、协调能力，思维活跃、创新能力强，同时具有较强的执行力；
5）能及时关注并学习新技术，追求极致性能和稳定性，具备良好的沟通能力和团队合作精神。"
射频电磁研发工程师,数据中心网络,18-35K,无锡,偲百创（深圳）科技有限公司,"射频开发,ADS,HFSS,频谱仪",1-3年,社招,数据中心网络,2023/1/11,"工作内容:
1、进行公司射频电路和结构的研究试制工作及现有产品的改进工作；
2、进行公司射频产品性能分析、技术可行性研究与评定工作；
3、组织制定产品工艺方案、编制工艺文件的技术标准；
4、组织制定并监督实施公司产品质量管理制度；
5、组织公司质量事故的分析及处理工作；
6、编制其负责年、季、月度产品研究开发计划，并组织实施；
7、完成上级交办的其他工作。
任职资格:
教育背景:
◆理工类专业本科以上学历。硕士学历优先考虑，工作经验可适当降低要求。相关院校：哈尔滨工业大学、华中科技大学、华南理工大学, 东南大学， 电子科学技术大学
培训经历:
◆ 如有keysight培训资历优先考虑。
经 验:
◆本科有3年以上从事射频和微波电路器件的设计的相关工作经验。硕士相关研究经历可算做工作经验。 有过IPD，微带线电路，或是测试电路板设计经验优先考虑。
◆精通 射频微波仿真EDA 软件的使用， 包括但不限于 HFSS, CST Microwave, 和 ADS momentum。
◆精通 计算类型的工具，包括但不限于 matlab,或是 Mathmatica。
◆具有微波测试的经验，并熟悉微波测量设备，包括但不限于 网络分析仪, 频谱分析仪, 和 微波信号元。
技能技巧:
◆熟悉企业产品结构、性能、机理、使用方法等；
◆有扎实的理论基础和技术工作经验，能独立解决产品使用相关问题。
态 度:
◆知识面广、专业基础扎实，善于与各类性格的人交往，善于沟通与交际；
◆有较强应变能力，有责任心，对人热情，良好的团队合作精神，优秀的团队合作意识。
工作条件:
工作场所:办公室。
环境状况:舒适。
危 险 性:基本无危险,无职业病危险。"
人工智能工程师,数据中心网络,15-25K,无锡,江苏天瑞精准医疗科技有限公司,"英文读写能力良好,生物医疗,数据分析,机器学习算法,机器学习算法/工程化经验,TensorFlow/PyTorch,自然语言处理,Hadoop/Hive/Spark,深度学习算法,深度学习经验,数据挖掘,Python",1-3年,社招,数据中心网络,2023/1/11,结合医生诊断疾病的经验数据，通过模型建立和训练，进行检验检查数据的收集整理和分析，使用python和java开发工具完成智能诊断平台的系统开发。
售前工程师,数据中心网络,9-14K,无锡,力合科技（湖南）股份有限公司,"系统集成,智慧城市信息化项目,售前技术支持经验,招投标经验,环境工程、化学应用",1-3年,社招,数据中心网络,2023/1/11,"1.负责项目前期数据应用分析、项目实施总体跟进、方案编写、业主沟通汇报等。
2.有较强专业技术基础，善于沟通、相关经验者优先
加分项
有以下行业经验：环保"
应用开发主管,数据中心网络,10-15K,无锡,无锡微视传感科技有限公司,"技术管理,系统架构,高级技术管理",3-5年,社招,数据中心网络,2023/1/11,"工作内容： 
1.	负责完成公司3D视觉产品硬件电路的设计、开发、调试及量产工作；
2.	带领并指导硬件、软件工程师，顺利完成项目；
3.	围绕3D视觉的产品应用方向调研工作；
4.	负责项目的推进及日常管理工作，各类技术文档的编写及完善；
任职资格：   
1.	通信、电子等相关专业硕士及以上学历，或具有5年及以上工作经验，具有量产的工作经验；
2.	精通FPGA、单片机、ARM、DSP等嵌入式电路的设计；
3.	熟悉高速数字电路的设计；
4.	熟悉嵌入式操作系统，有过操作系统移植经验者更佳；
5.	熟悉数据采集及数据传输，有激光雷达、3D测量相关经验的优先。"
网格算法研究及实现,数据中心网络,11-15K,无锡,中船重工奥蓝托无锡软件技术有限公司,"Python,C++,CMake,算法工程师",在校/应届,社招,数据中心网络,2023/1/11,"院校学历要求：985硕士及以上
岗位能力要求：
1）具备扎实的数理功底和较强的钻研能力；
2）熟练使用C++、Python等编程语言，Qt、STL、Boost、Eigen、Numpy等函数库，CMake等编译工具；
3）掌握链表、栈、二叉树等数据结构和常用排序、搜索算法；
4）能够操作Patran、ANSYS、HyperMesh、PointWise等商业软件生成网格。
工作内容及职责描述：
1）跟踪国外CAE前处理软件技术动向，开展CAE网格生成算法研究；
2）研发可用于结构有限元、CFD数值模拟的高质量网格生成技术，提升前后处理软件产品和自主工业CAE软件的竞争力。"
UI设计师,数据中心网络,12-24K,无锡,无锡锡商银行股份有限公司,"移动端,交互体验设计,UI设计,全职",3-5年,社招,数据中心网络,2023/1/11,"1、负责锡商银行业务线的交互设计工作，制定相关交互规范及流程，保证交互团队交付物的品质；
2、助开发人员完成产品的最终实现，并负责用户体验的持续优化；
3、通过用户研究和数据分析，制定产品信息架构、界面布局、功能引导、操作流程等优化方案，提升产品的易用性；
4、研究现有产品、关注竞争对手，能参与用户研究和可用性测试，以推动产品创立或提升；
5、定期分享设计趋势，推动提高团队的设计能力。
6、熟练使用AI、PS、sketch等设计软件；具备丰富的APP交互设计经验，掌握移动产品设计流行趋势，持续对业界动态保持关注和学习，并尝试在工作中运用。
加分项
有以下行业经验：银行·电子商务·互联网"
硬件工程师 R&D 2,数据中心网络,12-20K,无锡,无锡卓海科技股份有限公司,"芯片/半导体/集成电路,硬件",1-3年,社招,数据中心网络,2023/1/11,"工作职责：
1. 分析仪器电路子系统方案设计；
2、电路原理图设计和电路板调试，负责系统整机联调；
3. 撰写系统设计方案设计报告；
4. 完成生产导入，配合工艺部门开发生产工艺文件。
任职要求：
1、本科及以上学历，电子、信号处理等相关专业；
2、具有良好的模拟和数字电路分析和设计能力；
3. 熟悉掌握电子信号的相关知识，尤其是数据信号的处理和应用；具有信号处理、噪声抑制等硬件设计能力。
4. 掌握数字信号处理中的应用开发，能实现数字信号正交变换，采样率变换（抽取、内插）、滤波等信号处理算法
5、掌握arm、dsp或f**a其中一种嵌入式硬件设计；
6、掌握电磁兼容理论设计和分析系统emc问题；
7、有精密仪器开发者优先考虑。"
WPF研发工程师,数据中心网络,12-20K,无锡,苏州镁伽科技有限公司,"WPF,C#,.NET Core,图形图像处理,高级软件工程师",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1.负责开发Windows桌面应用软件的界面和业务流程；
2.其他软件相关的工作。
任职要求：
1.计算机软件专业(及相关专业)大学本科或本科以上学历；
2.精通C＃、WPF、Winform客户端开发,能够进行完全自义定的界面开发，熟悉MVVM；
3.有过dotcore 经验者优先；
4.对面向对象的概念有深刻的理解和应用；
5.熟悉数据结构,数据库和业务流程开发；
6.工作态度积极主动，具有独立解决问题的能力. 责任心强，具有良好的沟通能力及团队合作精神；
7.具有仪器,通讯类项目开发经验者，精通Windows与WPF渲染过程方面的知识者优先；
8.英语四级及以上，能熟练读写英文文档和具备良好的代码英语用词规范"
产品总监,数据中心网络,30-33K,无锡,无锡卡尔曼导航技术有限公司,"智能硬件,导航技术,人工智能",3-5年,社招,数据中心网络,2023/1/11,"岗位职责： 
1、根据公司战略制定产品的整体策略以及短，中，长期规划，并参与整个产品的生命周期。 
2、组织协调项目团队工作开展。 
3、实时跟踪产品的各项数据和用户反馈，并定期分析用户需求、市场需求和竞争对手动态，能够及时调整产品策略和制定改进方案。 
4、不断创新产品和优化产品用户体验，提升用户满意度。 
任职要求 
1、本科及以上学历，电子、通信、计算机等相关专业者优先，至少5年以上相关工作经验。 
2、对智能硬件产品架构及商业形态有深入的认识。 
3、对产品及市场有敏锐的嗅觉，有很强的产品线规划能力。 
4、对工作充满激情，具有强烈的创新精神，富于责任心，能承受工作压力。"
编译器研发高级工程师,数据中心网络,30-60K,无锡,北京红山微电子技术有限公司,"C++,编译器,C语言,LLVM,Linux,Linux开发/部署经验",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1、研发新型众核处理器的编译器及工具链；
2、设计并实现众核处理器的编程模型、编程语言；
3、开展性能分析并设计实现编译优化，挖掘硬件潜在性能；
4、调研用户需求，提供有价值的数据及参考意见，参与处理器软硬件协同设计。
任职要求：
1、熟悉CPU、GPGPU或其他众核的体系结构及微结构；
2、具有丰富的LLVM/GCC工具链开发经验；
3、理解CUDA或OpenCL 编程特性；
4、良好的英文沟通能力；
5、自我驱动的进取心，良好的沟通能力、独立工作能力和协同驱动能力、分析问题和解决问题的能力，强烈的团队精神。"
